id,name,slug,title,primaryColor,hue,lat,lng,country,region,attribution,photoUrl,thumbUrl,mapsLink,mapsLinkTitle,earthLink,earthLinkTitle,shareUrl,nextSlug,prevSlug
1003,Australia,australia-1003,Australia – Earth View from Google,"[4,184,244,255]",195.0,-10.040181,143.560709,Australia,,"©2014 Cnes/Spot Image, Maxar Technologies, Landsat, U.S. Geological Survey",https://www.gstatic.com/prettyearth/assets/full/1003.jpg,https://www.gstatic.com/prettyearth/assets/preview/1003.jpg,"https://www.google.com/maps/@-10.040181,143.560709,11z/data=!3m1!1e3",View Australia in Google Maps,"https://earth.google.com/web/@-10.040181,143.560709,-25a,61333d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery",View Australia in Google Earth,https://g.co/ev/1003,cuba-2243,
1004,"Tamarugal, Chile",tamarugal-chile-1004,"Tamarugal, Chile – Earth View from Google","[206,149,48,255]",38.0,-19.140249,-68.683995,Chile,Tamarugal,"©2014 CNES / Astrium, Cnes/Spot Image, Maxar Technologies",https://www.gstatic.com/prettyearth/assets/full/1004.jpg,https://www.gstatic.com/prettyearth/assets/preview/1004.jpg,"https://www.google.com/maps/@-19.140249,-68.683995,14z/data=!3m1!1e3","View Tamarugal, Chile in Google Maps","https://earth.google.com/web/@-19.140249,-68.683995,5253a,7355d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Tamarugal, Chile in Google Earth",https://g.co/ev/1004,keenesburg-united-states-1756,
1006,"Ngari, China",ngari-china-1006,"Ngari, China – Earth View from Google","[51,102,107,255]",185.0,30.109104,84.817876,China,Ngari,"©2014 Cnes/Spot Image, Maxar Technologies",https://www.gstatic.com/prettyearth/assets/full/1006.jpg,https://www.gstatic.com/prettyearth/assets/preview/1006.jpg,"https://www.google.com/maps/@30.109104,84.817876,14z/data=!3m1!1e3","View Ngari, China in Google Maps","https://earth.google.com/web/@30.109104,84.817876,5211a,6735d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Ngari, China in Google Earth",https://g.co/ev/1006,yemen-2071,
1007,"Ngari, China",ngari-china-1007,"Ngari, China – Earth View from Google","[37,121,128,255]",185.0,30.248502,85.047215,China,Ngari,©2014 Maxar Technologies,https://www.gstatic.com/prettyearth/assets/full/1007.jpg,https://www.gstatic.com/prettyearth/assets/preview/1007.jpg,"https://www.google.com/maps/@30.248502,85.047215,15z/data=!3m1!1e3","View Ngari, China in Google Maps","https://earth.google.com/web/@30.248502,85.047215,5955a,3363d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Ngari, China in Google Earth",https://g.co/ev/1007,derna-district-libya-13516,
1008,"Ngari, China",ngari-china-1008,"Ngari, China – Earth View from Google","[175,115,68,255]",26.0,30.349926,85.157309,China,Ngari,©2014 Maxar Technologies,https://www.gstatic.com/prettyearth/assets/full/1008.jpg,https://www.gstatic.com/prettyearth/assets/preview/1008.jpg,"https://www.google.com/maps/@30.349926,85.157309,16z/data=!3m1!1e3","View Ngari, China in Google Maps","https://earth.google.com/web/@30.349926,85.157309,5058a,1680d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Ngari, China in Google Earth",https://g.co/ev/1008,haixi-china-1082,
1010,Antarctica,antarctica-1010,Antarctica – Earth View from Google,"[24,166,230,255]",199.0,-76.646349,160.41473,Antarctica,,©2014 Maxar Technologies,https://www.gstatic.com/prettyearth/assets/full/1010.jpg,https://www.gstatic.com/prettyearth/assets/preview/1010.jpg,"https://www.google.com/maps/@-76.646349,160.41473,13z/data=!3m1!1e3",View Antarctica in Google Maps,"https://earth.google.com/web/@-76.646349,160.41473,1954a,3596d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery",View Antarctica in Google Earth,https://g.co/ev/1010,ceel-dheer-somalia-2170,
1012,Antarctica,antarctica-1012,Antarctica – Earth View from Google,"[87,167,147,255]",165.0,-71.924341,25.157817,Antarctica,,©2014 NASA,https://www.gstatic.com/prettyearth/assets/full/1012.jpg,https://www.gstatic.com/prettyearth/assets/preview/1012.jpg,"https://www.google.com/maps/@-71.924341,25.157817,9z/data=!3m1!1e3",View Antarctica in Google Maps,"https://earth.google.com/web/@-71.924341,25.157817,1279a,77303d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery",View Antarctica in Google Earth,https://g.co/ev/1012,alxa-china-14602,
1014,"Shannan, China",shannan-china-1014,"Shannan, China – Earth View from Google","[126,92,52,255]",32.0,29.14274,90.513512,China,Shannan,"©2014 Cnes/Spot Image, Maxar Technologies",https://www.gstatic.com/prettyearth/assets/full/1014.jpg,https://www.gstatic.com/prettyearth/assets/preview/1014.jpg,"https://www.google.com/maps/@29.14274,90.513512,14z/data=!3m1!1e3","View Shannan, China in Google Maps","https://earth.google.com/web/@29.14274,90.513512,4442a,6800d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Shannan, China in Google Earth",https://g.co/ev/1014,san-luis-rio-colorado-mexico-13634,
1017,"Beyneu District, Kazakhstan",beyneu-district-kazakhstan-1017,"Beyneu District, Kazakhstan – Earth View from Google","[45,149,210,255]",202.0,45.351844,53.524919,Kazakhstan,Beyneu District,"©2014 Cnes/Spot Image, Maxar Technologies",https://www.gstatic.com/prettyearth/assets/full/1017.jpg,https://www.gstatic.com/prettyearth/assets/preview/1017.jpg,"https://www.google.com/maps/@45.351844,53.524919,13z/data=!3m1!1e3","View Beyneu District, Kazakhstan in Google Maps","https://earth.google.com/web/@45.351844,53.524919,-29a,10943d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Beyneu District, Kazakhstan in Google Earth",https://g.co/ev/1017,poum-new-caledonia-5795,
1018,"Al Kufrah, Libya",al-kufrah-libya-1018,"Al Kufrah, Libya – Earth View from Google","[242,172,108,255]",29.0,24.659177,24.968061,Libya,Al Kufrah,"©2014 Cnes/Spot Image, Maxar Technologies",https://www.gstatic.com/prettyearth/assets/full/1018.jpg,https://www.gstatic.com/prettyearth/assets/preview/1018.jpg,"https://www.google.com/maps/@24.659177,24.968061,14z/data=!3m1!1e3","View Al Kufrah, Libya in Google Maps","https://earth.google.com/web/@24.659177,24.968061,564a,7076d,30y,270h,30t,0r/data=KAI?utm_source=referral&utm_campaign=earthview&utm_term=gallery","View Al Kufrah, Libya in Google Earth",https://g.co/ev/1018,kahului-united-states-13401,
